Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
GoogLeNet;FP32;981,8996804;0,005006132;5,09842E-06;32,78626548;129,6718743;5,740276337;0,008818531;0,040518475;0,001565222;0,050902228
GoogLeNet;FP32;986,5645514;0,004838271;4,90416E-06;25,0445593;170,3328151;5,740276337;0,006874243;0,040748508;0,00157267;0,049195421
GoogLeNet;FP32;986,7414982;0,004856727;4,92199E-06;25,26610665;114,057626;5,740276337;0,007039193;0,04077091;0,001572977;0,04938308
GoogLeNet;FP32;989,7647594;0,004887137;4,93767E-06;25,1341258;134,4566208;5,740276337;0,006925834;0,041188668;0,001577781;0,049692282
GoogLeNet;FP32;986,8421136;0,004803116;4,86716E-06;25,06373255;122,8935883;5,740276337;0,006869174;0,040395698;0,001573087;0,048837959
GoogLeNet;FP32;985,9327212;0,004802218;4,87074E-06;25,12613063;193,0389251;5,740276337;0,006879213;0,040377967;0,001571657;0,048828837
GoogLeNet;FP32;987,3458634;0,004822473;4,88428E-06;25,15274717;107,6573403;5,740276337;0,006909068;0,040551767;0,001573952;0,049034786
GoogLeNet;FP32;986,764268;0,004835146;4,9E-06;25,19278694;137,804001;5,740276337;0,006909575;0,040681049;0,001573021;0,049163645
GoogLeNet;FP32;986,9538577;0,004738896;4,80154E-06;25,08275967;196,0181729;5,740276337;0,006869258;0,039742421;0,001573297;0,048184976
GoogLeNet;FP32;986,5785257;0,004805556;4,87093E-06;25,0807389;132,9984241;5,740276337;0,006885814;0,04040427;0,001572685;0,048862768
GoogLeNet;FP16;614,5593874;0,00342555;5,57399E-06;25,23179467;185,4835722;5,740276337;0,004822425;0,029028792;0,00097969;0,034830907
GoogLeNet;FP16;618,7662207;0,002706998;4,37483E-06;25,39348881;157,6223857;5,740276337;0,004336964;0,022201354;0,000986367;0,027524684
GoogLeNet;FP16;618,4500561;0,003664637;5,92552E-06;25,28721754;199,2269821;5,740276337;0,004322565;0,031953493;0,000985879;0,037261937
GoogLeNet;FP16;617,9478721;0,003223628;5,21667E-06;25,11752722;168,1700464;5,740276337;0,004318662;0,027474027;0,000985076;0,032777765
GoogLeNet;FP16;618,3972092;0,003610693;5,83879E-06;25,45713494;188,8392848;5,740276337;0,004318777;0,031408878;0,000985786;0,03671344
GoogLeNet;FP16;618,7857411;0,003587201;5,79716E-06;25,15784909;143,8073499;5,740276337;0,004304249;0,031183902;0,000986417;0,036474568
GoogLeNet;FP16;618,7496444;0,002662723;4,30339E-06;25,25294005;105,1491808;5,740276337;0,004320049;0,02176809;0,000986358;0,027074497
GoogLeNet;FP16;618,5483382;0,003452368;5,5814E-06;25,27558579;120,783126;5,740276337;0,004305762;0,029811788;0,000986045;0,035103595
GoogLeNet;FP16;618,5788121;0,003040753;4,91571E-06;25,21574687;135,2903695;5,740276337;0,00430065;0,025631569;0,000986078;0,030918297
GoogLeNet;FP16;618,716766;0,002752523;4,44876E-06;25,33148456;98,46672206;5,740276337;0,004318217;0,022683064;0,000986308;0,027987589
