Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
ResNet;FP32;4498,798711;0,020520661;4,56136E-06;28,79872048;152,5668559;5,740283489;0,032809772;0,168672203;0,007171596;0,208653571
ResNet;FP32;4500,406164;0,020819547;4,62615E-06;24,68586064;162,8393315;5,740283489;0,031832437;0,172685989;0,007174205;0,21169263
ResNet;FP32;4497,79044;0,020440128;4,54448E-06;25,0816284;133,7312377;5,740283489;0,031479732;0,169185052;0,007169923;0,207834707
ResNet;FP32;4497,091191;0,021073968;4,68613E-06;24,96714377;150,8052565;5,740283489;0,03289415;0,174216607;0,007168819;0,214279577
ResNet;FP32;4499,344148;0,020907386;4,64676E-06;25,00039113;115,7020505;5,740283489;0,032359233;0,17305413;0,007172414;0,212585776
ResNet;FP32;4498,31005;0,020871228;4,63979E-06;25,1072979;139,5290878;5,740283489;0,031434618;0,173612728;0,007170773;0,212218119
ResNet;FP32;4500,073176;0,020828003;4,62837E-06;27,55325947;124,7496648;5,740283489;0,032851626;0,17175354;0,007173445;0,211778611
ResNet;FP32;4502,06588;0,020807398;4,62174E-06;25,01941247;135,2631156;5,740283489;0,032518954;0,171873334;0,007176809;0,211569097
ResNet;FP32;4501,397018;0,020694952;4,59745E-06;24,96008509;114,6003062;5,740283489;0,031458587;0,171791524;0,007175642;0,210425753
ResNet;FP32;4496,969287;0,020777416;4,62032E-06;25,0380889;124,746556;5,740283489;0,031778237;0,172317296;0,007168708;0,211264242
ResNet;FP16;3070,948457;0,013961337;4,54626E-06;25,05816597;109,5452652;5,740283489;0,022963819;0,114099352;0,004895357;0,141958529
ResNet;FP16;3071,522816;0,013811042;4,49648E-06;24,97835205;173,0668769;5,740283489;0,021329651;0,11420434;0,004896341;0,140430332
ResNet;FP16;3072,229792;0,013942832;4,53834E-06;25,05274088;143,8620663;5,740283489;0,021992961;0,114879964;0,004897442;0,141770367
ResNet;FP16;3069,989881;0,013873725;4,51914E-06;25,05649649;103,7866371;5,740283489;0,021586398;0,114587466;0,004893823;0,141067687
ResNet;FP16;3071,51651;0,01389047;4,52235E-06;25,03267621;172,5158554;5,740283489;0,02207712;0,114264543;0,004896288;0,14123795
ResNet;FP16;3071,347447;0,013907058;4,528E-06;25,10824357;153,5853881;5,740283489;0,021752106;0,114758505;0,004896008;0,141406618
ResNet;FP16;3072,538073;0,013806297;4,49345E-06;25,10062396;104,5688523;5,740283489;0,021355983;0,114128119;0,004897976;0,140382077
ResNet;FP16;3071,729408;0,013922351;4,53241E-06;25,0281553;125,3336772;5,740283489;0,021407729;0,115257735;0,004896654;0,141562118
ResNet;FP16;3071,345413;0,013895182;4,52414E-06;24,96600989;124,2641354;5,740283489;0,021332559;0,115057286;0,004896013;0,141285858
ResNet;FP16;3071,853381;0,013874727;4,51673E-06;25,06168594;156,3939954;5,740283489;0,021378535;0,114802532;0,004896814;0,141077882
