Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
VGG;FP32;2051,574083;0,009375882;4,57009E-06;25,21670775;118,3768324;5,740279198;0,015386931;0,076676491;0,003270314;0,095333735
VGG;FP32;2047,163957;0,009222009;4,50477E-06;25,24375798;101,9303946;5,740279198;0,014280535;0,07622532;0,003263298;0,093769153
VGG;FP32;2052,112495;0,009273867;4,51918E-06;25,12084175;119,859422;5,740279198;0,0142833;0,07674191;0,003271237;0,094296447
VGG;FP32;2049,950394;0,009345051;4,55867E-06;25,02519426;147,8989044;5,740279198;0,015027917;0,07672455;0,003267775;0,095020241
VGG;FP32;2046,173618;0,009228073;4,50992E-06;25,25002202;128,1046635;5,740279198;0,014237071;0,076332043;0,003261701;0,093830815
VGG;FP32;2047,066147;0,009242456;4,51498E-06;25,19012696;126,6496874;5,740279198;0,014251482;0,076462434;0,00326314;0,093977056
VGG;FP32;2047,782296;0,009237189;4,51083E-06;25,15687949;177,7832769;5,740279198;0,014249134;0,076410124;0,003264246;0,093923504
VGG;FP32;2048,501732;0,009244453;4,51279E-06;25,22808241;166,8418333;5,740279198;0,014280168;0,076451788;0,003265411;0,093997366
VGG;FP32;2050,520623;0,009262773;4,51728E-06;25,15172493;119,6090903;5,740279198;0,014267851;0,076647164;0,003268634;0,094183648
VGG;FP32;2047,780514;0,009245381;4,51483E-06;25,1353011;174,1773147;5,740279198;0,014244484;0,076498085;0,003264237;0,094006805
VGG;FP16;1909,380045;0,0085497;4,47774E-06;25,46286901;118,3206773;5,740279198;0,015149486;0,068740012;0,003043638;0,086933136
VGG;FP16;1911,314122;0,008377726;4,38323E-06;25,29857618;81,165616;5,740279198;0,013323843;0,068813959;0,003046704;0,085184507
VGG;FP16;1910,114171;0,008372645;4,38332E-06;25,26668225;105,0948918;5,740279198;0,013305218;0,06878279;0,003044835;0,085132844
VGG;FP16;1909,518698;0,008377984;4,38748E-06;25,4411521;147,8688872;5,740279198;0,013296723;0,068846553;0,003043854;0,085187129
VGG;FP16;1913,308028;0,008364135;4,37156E-06;25,21687236;111,1663897;5,740279198;0,013312456;0,068683937;0,003049924;0,085046317
VGG;FP16;1912,033564;0,008397916;4,39214E-06;25,27702254;104,3856804;5,740279198;0,013280592;0,069061341;0,003047861;0,085389795
VGG;FP16;1911,08755;0,008387525;4,38888E-06;25,32678505;161,6340551;5,740279198;0,013309329;0,068928432;0,003046383;0,085284144
VGG;FP16;1910,6849;0,008371508;4,38142E-06;25,28804793;110,7893531;5,740279198;0,013329544;0,068745986;0,003045756;0,085121286
VGG;FP16;1911,973965;0,008413403;4,40038E-06;25,13099278;88,65588844;5,740279198;0,013301969;0,069197487;0,003047815;0,08554727
VGG;FP16;1911,131296;0,008379955;4,38481E-06;25,1610616;149,2765876;5,740279198;0,013291175;0,068869577;0,003046422;0,085207174
