Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
AlexNet;FP32;1,479678483;6,76372E-06;4,57108E-06;37,4876544;124,4251029;5,740283489;1,53768E-05;5,10425E-05;2,354E-06;6,87734E-05
AlexNet;FP32;1,446157945;6,95051E-06;4,80619E-06;37,76480682;132,5994877;5,740283489;1,51533E-05;5,32164E-05;2,30287E-06;7,06726E-05
AlexNet;FP32;1,442024455;7,36056E-06;5,10433E-06;37,78272463;143,5148828;5,740283489;1,51159E-05;5,743E-05;2,29606E-06;7,4842E-05
AlexNet;FP32;1,452759215;7,1933E-06;4,95147E-06;38,19148073;137,5019577;5,740283489;1,53944E-05;5,54337E-05;2,31325E-06;7,31413E-05
AlexNet;FP32;1,447424304;6,72415E-06;4,6456E-06;37,37759033;127,1014504;5,740283489;1,50113E-05;5,10548E-05;2,3049E-06;6,8371E-05
AlexNet;FP32;1,448901134;8,08603E-06;5,5808E-06;37,96245055;160,7590395;5,740283489;1,52638E-05;6,46473E-05;2,30752E-06;8,22186E-05
AlexNet;FP32;1,460402376;7,92245E-06;5,42484E-06;37,9449363;155,0994945;5,740283489;1,53751E-05;6,28548E-05;2,32543E-06;8,05553E-05
AlexNet;FP32;1,448508717;6,25113E-06;4,31557E-06;37,82830418;114,5875616;5,740283489;1,52009E-05;4,60542E-05;2,30623E-06;6,35614E-05
AlexNet;FP32;1,436311134;6,72146E-06;4,67967E-06;38,06223187;127,6917444;5,740283489;1,51658E-05;5,08912E-05;2,28673E-06;6,83437E-05
AlexNet;FP32;1,441588602;8,49484E-06;5,8927E-06;37,893503;172,3023591;5,740283489;1,51548E-05;6,89253E-05;2,2952E-06;8,63754E-05
AlexNet;FP16;1,380887104;5,62141E-06;4,07087E-06;37,93626344;105,6923472;5,740276337;1,45148E-05;4,04478E-05;2,19572E-06;5,71584E-05
AlexNet;FP16;1,365392705;6,15565E-06;4,50834E-06;38,14632358;121,3481636;5,740276337;1,4448E-05;4,59689E-05;2,17357E-06;6,25905E-05
AlexNet;FP16;1,37347648;7,48677E-06;5,45096E-06;38,28228677;155,7420013;5,740276337;1,45864E-05;5,93523E-05;2,18664E-06;7,61253E-05
AlexNet;FP16;1,379085545;5,78007E-06;4,19123E-06;37,24889553;110,6403977;5,740276337;1,4247E-05;4,23295E-05;2,1951E-06;5,87716E-05
AlexNet;FP16;1,371668182;6,19167E-06;4,51397E-06;38,43786552;121,4741494;5,740276337;1,46059E-05;4,617E-05;2,18079E-06;6,29567E-05
AlexNet;FP16;1,384434124;7,88371E-06;5,69454E-06;37,59921378;165,3423476;5,740276337;1,4441E-05;6,35162E-05;2,20426E-06;8,01614E-05
AlexNet;FP16;1,374659726;7,18866E-06;5,22941E-06;37,8937481;147,9745307;5,740276337;1,44539E-05;5,64512E-05;2,18905E-06;7,30941E-05
AlexNet;FP16;1,365622061;6,67625E-06;4,8888E-06;38,1443266;135,3930471;5,740276337;1,44417E-05;5,12695E-05;2,17281E-06;6,7884E-05
AlexNet;FP16;1,364619325;5,9209E-06;4,33886E-06;38,14654714;115,1140139;5,740276337;1,44424E-05;4,35884E-05;2,17274E-06;6,02035E-05
AlexNet;FP16;1,395346053;7,57673E-06;5,43E-06;33,03510812;160,5853602;5,740276337;1,27644E-05;6,20581E-05;2,21752E-06;7,704E-05
