Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
GoogLeNet;FP32;1,680518369;8,70685E-06;5,18105E-06;35,11967492;149,0484508;5,740276337;1,63698E-05;6,94862E-05;2,67508E-06;8,85311E-05
GoogLeNet;FP32;1,665964578;8,39054E-06;5,03645E-06;37,29369329;141,5709989;5,740276337;1,72335E-05;6,54292E-05;2,6521E-06;8,53148E-05
GoogLeNet;FP32;1,677240907;6,87584E-06;4,0995E-06;34,82555458;109,8330879;5,740276337;1,61871E-05;5,10587E-05;2,66767E-06;6,99134E-05
GoogLeNet;FP32;1,647397213;9,13766E-06;5,54672E-06;36,61181957;160,8600177;5,740276337;1,67383E-05;7,35495E-05;2,6237E-06;9,29115E-05
GoogLeNet;FP32;1,650537242;9,22551E-06;5,5894E-06;37,01942856;162,0222072;5,740276337;1,69554E-05;7,42206E-05;2,62869E-06;9,38047E-05
GoogLeNet;FP32;1,65730075;8,11441E-06;4,89616E-06;35,56947237;138,0768349;5,740276337;1,63575E-05;6,35103E-05;2,63925E-06;8,25071E-05
GoogLeNet;FP32;1,646372953;8,30882E-06;5,04674E-06;36,11073286;143,2002741;5,740276337;1,64842E-05;6,53798E-05;2,61991E-06;8,44839E-05
GoogLeNet;FP32;1,669516473;9,50704E-06;5,69449E-06;35,80860585;167,5635179;5,740276337;1,65512E-05;7,74634E-05;2,65277E-06;9,66673E-05
GoogLeNet;FP32;1,653435165;8,25785E-06;4,99436E-06;36,89790009;140,4070846;5,740276337;1,69237E-05;6,44095E-05;2,63238E-06;8,39656E-05
GoogLeNet;FP32;1,654582341;9,5519E-06;5,773E-06;36,63446794;169,4339229;5,740276337;1,67963E-05;7,76959E-05;2,63133E-06;9,71235E-05
GoogLeNet;FP16;1,110434643;7,29699E-06;6,57129E-06;39,46842632;195,9696206;5,740276337;1,21399E-05;6,02906E-05;1,76517E-06;7,41956E-05
GoogLeNet;FP16;1,107906126;6,57039E-06;5,93046E-06;40,96858922;170,9442545;5,740276337;1,25735E-05;5,24728E-05;1,76124E-06;6,68076E-05
GoogLeNet;FP16;1,118236371;8,1049E-06;7,24793E-06;40,67265768;219,4084813;5,740276337;1,26067E-05;6,80248E-05;1,77888E-06;8,24104E-05
GoogLeNet;FP16;1,119447638;7,77962E-06;6,94952E-06;39,16684795;210,678143;5,740276337;1,21196E-05;6,52076E-05;1,77579E-06;7,9103E-05
GoogLeNet;FP16;1,111558147;5,91628E-06;5,32251E-06;40,84998165;149,0585294;5,740276337;1,25586E-05;4,58336E-05;1,7643E-06;6,01566E-05
GoogLeNet;FP16;1,102637167;8,27782E-06;7,5073E-06;40,80068303;228,6472638;5,740276337;1,2476E-05;6,99378E-05;1,75487E-06;8,41687E-05
GoogLeNet;FP16;1,103323287;4,89126E-06;4,43321E-06;40,27467472;116,4915566;5,740276337;1,23238E-05;3,56545E-05;1,75602E-06;4,97343E-05
GoogLeNet;FP16;1,098607308;7,31996E-06;6,66294E-06;40,8735806;197,6449017;5,740276337;1,24519E-05;6,02289E-05;1,74831E-06;7,44292E-05
GoogLeNet;FP16;1,096452795;5,59201E-06;5,10009E-06;40,89106888;140,3121931;5,740276337;1,24348E-05;4,26795E-05;1,74513E-06;5,68594E-05
GoogLeNet;FP16;1,115381668;5,79098E-06;5,19192E-06;40,16940991;144,4428942;5,740276337;1,24215E-05;4,46867E-05;1,77427E-06;5,88825E-05
