Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
LeNet;FP32;0,865020322;4,9153E-06;5,6823E-06;34,92755041;168,1516377;5,740283489;8,35816E-06;4,02473E-05;1,37327E-06;4,99787E-05
LeNet;FP32;0,860128215;2,1437E-06;2,4923E-06;37,01441704;48,6795379;5,740283489;8,82243E-06;1,1607E-05;1,3677E-06;2,17971E-05
LeNet;FP32;0,876302894;4,02515E-06;4,59333E-06;34,89520274;127,8166511;5,740283489;8,47629E-06;3,10575E-05;1,39381E-06;4,09276E-05
LeNet;FP32;0,882099678;5,13128E-06;5,81712E-06;35,18681729;172,9212798;5,740283489;8,58358E-06;4,21914E-05;1,39976E-06;5,21748E-05
LeNet;FP32;0,877114197;3,38259E-06;3,85649E-06;35,05464539;100,723891;5,740283489;8,5178E-06;2,4482E-05;1,39429E-06;3,43941E-05
LeNet;FP32;0,870696424;2,4777E-06;2,84565E-06;35,75040374;62,84659289;5,740283489;8,63081E-06;1,5177E-05;1,38538E-06;2,51932E-05
LeNet;FP32;0,856862803;2,79471E-06;3,26156E-06;37,05672183;76,80884036;5,740283489;8,80241E-06;1,82511E-05;1,363E-06;2,84165E-05
LeNet;FP32;0,861805466;2,44209E-06;2,83369E-06;37,0438213;61,4714448;5,740283489;8,8218E-06;1,46428E-05;1,36653E-06;2,48311E-05
LeNet;FP32;0,871134497;3,27572E-06;3,76029E-06;36,24841727;96,48830433;5,740283489;8,71648E-06;2,32111E-05;1,37985E-06;3,33075E-05
LeNet;FP32;0,865129762;2,4684E-06;2,85321E-06;36,53333786;62,47934959;5,740283489;8,75171E-06;1,49722E-05;1,37467E-06;2,50986E-05
LeNet;FP16;0,877364784;2,61575E-06;2,98137E-06;35,43860556;68,16228591;5,740283489;8,61884E-06;1,65825E-05;1,39553E-06;2,65969E-05
LeNet;FP16;0,861386896;3,39829E-06;3,94514E-06;37,17233556;101,793437;5,740283489;8,87499E-06;2,43086E-05;1,37011E-06;3,45537E-05
LeNet;FP16;0,872979652;2,62431E-06;3,00615E-06;35,46508202;69,04386075;5,740283489;8,58241E-06;1,67128E-05;1,38868E-06;2,66839E-05
LeNet;FP16;0,889709632;2,24452E-06;2,52276E-06;35,47471771;51,7212869;5,740283489;8,71023E-06;1,27031E-05;1,40894E-06;2,28222E-05
LeNet;FP16;0,868793699;3,92875E-06;4,52207E-06;36,55201666;123,5664815;5,740283489;8,80171E-06;2,97639E-05;1,38179E-06;3,99474E-05
LeNet;FP16;0,873772742;2,75698E-06;3,15526E-06;36,36707051;73,77937373;5,740283489;8,79583E-06;1,78492E-05;1,38791E-06;2,80329E-05
LeNet;FP16;0,873938343;2,92244E-06;3,34399E-06;36,79668969;80,10373466;5,740283489;8,91429E-06;1,94108E-05;1,39013E-06;2,97153E-05
LeNet;FP16;0,872381103;3,64418E-06;4,17728E-06;36,66753584;110,8266927;5,740283489;8,86485E-06;2,68017E-05;1,38735E-06;3,70539E-05
LeNet;FP16;0,866261579;3,02174E-06;3,48825E-06;37,08166372;85,20709821;5,740283489;8,89679E-06;2,04514E-05;1,37679E-06;3,0725E-05
LeNet;FP16;0,860707098;3,86356E-06;4,48882E-06;37,27101861;121,6062163;5,740283489;8,89237E-06;2,90231E-05;1,36909E-06;3,92845E-05
