Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
ResNet;FP32;5,886826407;2,36707E-05;4,02096E-06;28,70115548;112,7850728;5,740283489;4,69184E-05;0,000184381;9,38325E-06;0,000240683
ResNet;FP32;5,864452977;3,04549E-05;5,19313E-06;31,03603839;153,4089588;5,740283489;5,05316E-05;0,000249787;9,34554E-06;0,000309664
ResNet;FP32;5,860654984;3,38496E-05;5,77573E-06;30,98272841;174,7805181;5,740283489;5,04166E-05;0,000284424;9,34045E-06;0,000344181
ResNet;FP32;5,861204795;3,11522E-05;5,31497E-06;30,83602931;158,0221953;5,740283489;5,01912E-05;0,00025722;9,34296E-06;0,000316754
ResNet;FP32;5,855662385;3,02331E-05;5,16306E-06;30,31859689;153,0323636;5,740283489;4,92879E-05;0,00024879;9,33135E-06;0,00030741
ResNet;FP32;5,87098552;2,50886E-05;4,27332E-06;30,24828223;120,4778998;5,740283489;4,93147E-05;0,000196428;9,35804E-06;0,0002551
ResNet;FP32;5,866539402;3,37756E-05;5,75733E-06;30,84827722;174,2143452;5,740283489;5,02541E-05;0,000283824;9,35095E-06;0,000343429
ResNet;FP32;5,884589784;2,8178E-05;4,78843E-06;29,88576011;139,7484044;5,740283489;4,88236E-05;0,000228312;9,37734E-06;0,000286513
ResNet;FP32;5,868517601;2,87204E-05;4,89398E-06;30,28195863;143,1634662;5,740283489;4,93503E-05;0,000233324;9,35442E-06;0,000292028
ResNet;FP32;5,853878536;3,40336E-05;5,81385E-06;30,95747123;176,1688584;5,740283489;5,03246E-05;0,000286397;9,331E-06;0,000346053
ResNet;FP16;3,832536909;1,66085E-05;4,33356E-06;30,88182617;122,1225037;5,740283489;3,28505E-05;0,000129919;6,10573E-06;0,000168875
ResNet;FP16;3,850082893;2,09117E-05;5,4315E-06;30,89354019;162,2543594;5,740283489;3,30263E-05;0,000173468;6,13603E-06;0,00021263
ResNet;FP16;3,843350354;2,36756E-05;6,16015E-06;31,31917802;188,522482;5,740283489;3,34205E-05;0,000201188;6,12507E-06;0,000240733
ResNet;FP16;3,838775155;2,15169E-05;5,60514E-06;33,1243859;166,4730157;5,740283489;3,52908E-05;0,000177377;6,11518E-06;0,000218783
ResNet;FP16;3,846179654;1,92099E-05;4,99455E-06;30,62187166;146,5267759;5,740283489;3,27028E-05;0,000156493;6,12989E-06;0,000195326
ResNet;FP16;3,833026776;2,18068E-05;5,68919E-06;32,67882262;169,9429965;5,740283489;3,47737E-05;0,00018085;6,10781E-06;0,000221731
ResNet;FP16;3,83833927;2,33811E-05;6,09145E-06;32,73423549;184,5860913;5,740283489;3,4887E-05;0,000196734;6,11726E-06;0,000237738
ResNet;FP16;3,829840237;1,73874E-05;4,53998E-06;32,43693606;128,0675131;5,740283489;3,44939E-05;0,000136197;6,10377E-06;0,000176794
ResNet;FP16;3,83267916;1,3859E-05;3,616E-06;32,3105646;94,39000411;5,740283489;3,43772E-05;0,000100434;6,1069E-06;0,000140918
ResNet;FP16;3,854457084;2,21927E-05;5,75767E-06;32,73040368;172,4020022;5,740283489;3,50232E-05;0,00018449;6,14187E-06;0,000225655
