Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
VGG;FP32;1,789007869;9,87776E-06;5,52136E-06;35,81487627;160,6980485;5,740279198;1,77837E-05;7,98034E-05;2,84969E-06;0,000100437
VGG;FP32;1,775812402;9,7947E-06;5,51561E-06;36,51436542;159,8346623;5,740279198;1,79919E-05;7,87723E-05;2,82801E-06;9,95922E-05
VGG;FP32;1,785879564;1,14871E-05;6,43217E-06;36,84008281;193,1854503;5,740279198;1,8249E-05;9,57084E-05;2,84298E-06;0,0001168
VGG;FP32;1,776804744;7,2772E-06;4,09566E-06;36,45806832;108,0241755;5,740279198;1,79563E-05;5,32112E-05;2,82684E-06;7,39943E-05
VGG;FP32;1,779759592;8,6758E-06;4,8747E-06;36,61829993;136,2210609;5,740279198;1,8087E-05;6,72934E-05;2,83484E-06;8,82153E-05
VGG;FP32;1,80035107;1,12216E-05;6,23302E-06;36,69652644;185,9950607;5,740279198;1,83273E-05;9,29076E-05;2,86635E-06;0,000114101
VGG;FP32;1,787224672;8,90267E-06;4,98128E-06;36,46889456;140,2839819;5,740279198;1,80877E-05;6,95878E-05;2,84659E-06;9,05221E-05
VGG;FP32;1,785343394;8,21685E-06;4,60239E-06;36,55604157;126,3053335;5,740279198;1,81138E-05;6,25912E-05;2,84382E-06;8,35488E-05
VGG;FP32;1,777154382;7,13531E-06;4,01502E-06;36,70434123;104,6397246;5,740279198;1,81034E-05;5,16175E-05;2,83073E-06;7,25517E-05
VGG;FP32;1,789526688;8,66782E-06;4,84364E-06;36,31735488;135,3748646;5,740279198;1,80373E-05;6,72464E-05;2,85043E-06;8,81341E-05
VGG;FP16;1,536816067;6,48488E-06;4,21969E-06;37,62917001;111,2607536;5,740279198;1,60441E-05;4,7447E-05;2,447E-06;6,59381E-05
VGG;FP16;1,529959401;9,57669E-06;6,25944E-06;37,8040188;185,8105479;5,740279198;1,60483E-05;7,88909E-05;2,43633E-06;9,73755E-05
VGG;FP16;1,538902487;6,82327E-06;4,43385E-06;37,70195652;119,0277387;5,740279198;1,60982E-05;5,083E-05;2,45062E-06;6,93788E-05
VGG;FP16;1,535922978;6,23545E-06;4,05974E-06;37,61264704;105,4133314;5,740279198;1,60276E-05;4,49286E-05;2,44563E-06;6,34019E-05
VGG;FP16;1,551165557;6,85806E-06;4,42123E-06;37,50516399;119,0644755;5,740279198;1,61109E-05;5,11562E-05;2,46544E-06;6,97325E-05
VGG;FP16;1,546083918;6,58812E-06;4,26117E-06;37,5589071;112,8314245;5,740279198;1,61125E-05;4,84134E-05;2,46202E-06;6,69879E-05
VGG;FP16;1,546488726;9,10738E-06;5,88907E-06;37,66634991;172,3922693;5,740279198;1,6161E-05;7,39801E-05;2,46254E-06;9,26036E-05
VGG;FP16;1,535569217;9,52666E-06;6,20399E-06;37,92011554;183,6900205;5,740279198;1,6155E-05;7,82667E-05;2,44507E-06;9,68668E-05
VGG;FP16;1,53765425;8,74745E-06;5,68883E-06;37,86122328;164,8498645;5,740279198;1,6153E-05;7,03423E-05;2,44858E-06;8,89439E-05
VGG;FP16;1,528803966;9,1218E-06;5,96663E-06;37,88966091;175,0032013;5,740279198;1,60714E-05;7,42445E-05;2,43435E-06;9,27502E-05
