Arquitetura;Precisão;Perda Treino;Acurácia Treino;Perda Validação;Acurácia Validação;Tempo Treino (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
AlexNet;FP32;0,000513764;0,999875;1,633374275;0,8192;2038,133601;3994,022;0,009951569
AlexNet;FP32;0,000351951;0,9999125;1,650997576;0,8238;2037,266859;3993,362;0,0099153
AlexNet;FP32;0,00088105;0,999791667;1,576162763;0,826333333;2037,456691;3992,752333;0,009899345
AlexNet;FP32;0,002214291;0,99946875;1,509235;0,826275;2036,984743;3992,647;0,009900732
AlexNet;FP32;0,001995453;0,999515;1,496240308;0,82704;2036,57371;3992,5894;0,009904141
AlexNet;FP32;0,001769445;0,999575;1,486354192;0,8276;2049,639444;3992,401333;0,009901548
AlexNet;FP32;0,001679547;0,9996;1,483964722;0,8287;2048,329629;3992,063429;0,009827448
AlexNet;FP32;0,001653444;0,999621875;1,503389693;0,8287;2046,643406;3992,178;0,009771606
AlexNet;FP32;0,001609118;0,999622222;1,503971021;0,828622222;2045,617752;3992,230667;0,009725785
AlexNet;FP32;0,001472806;0,9996525;1,513088184;0,82837;2044,783368;3992,0131;0,009688437
AlexNet;FP16;0,003837763;0,99935;2,601311339;0,8256;2013,918811;3516,993;0,009866355
AlexNet;FP16;0,018698422;0,9952;1,820532558;0,82635;2013,819587;3497,0245;0,009803231
AlexNet;FP16;0,022660659;0,994216667;1,575688469;0,829333333;2013,358002;3497,227;0,009809724
AlexNet;FP16;0,019432855;0,99519375;1,683961399;0,82995;2013,3165;3494,0035;0,009791551
AlexNet;FP16;0,019845621;0,99517;1,597370711;0,83196;2013,395085;3490,1408;0,009787252
AlexNet;FP16;0,022864001;0,994325;1,485843045;0,8315;2013,42941;3489,1995;0,009729144
AlexNet;FP16;0,023332002;0,994107143;1,431477458;0,8328;2013,392836;3487,774;0,009690558
AlexNet;FP16;0,022314233;0,99444375;1,461404648;0,8330625;2013,344499;3487,292;0,009654938
AlexNet;FP16;0,020906774;0,994822222;1,520790282;0,832733333;2013,334753;3487,196444;0,009630448
AlexNet;FP16;0,020803182;0,99488;1,498496956;0,83218;2013,358268;3486,4784;0,009643031
