Arquitetura;Precisão;Perda Treino;Acurácia Treino;Perda Validação;Acurácia Validação;Tempo Treino (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
GoogleNet;FP32;0,180260441;0,94365;0,510557168;0,8402;981,867921;3764,709;0,005006132
GoogleNet;FP32;0,186028133;0,94175;0,511358156;0,84;984,293936;3737,156;0,00493143
GoogleNet;FP32;0,169064552;0,947741667;0,524729324;0,840833333;986,1112643;3724,11;0,004916665
GoogleNet;FP32;0,156730924;0,9520875;0,534683398;0,840975;986,290089;3721,9685;0,004888278
GoogleNet;FP32;0,150416735;0,95417;0,534770026;0,84154;986,2149618;3720,7192;0,004871066
GoogleNet;FP32;0,141993396;0,957070833;0,537451719;0,84215;986,4005572;3719,5705;0,004862967
GoogleNet;FP32;0,151404028;0,953642857;0,53584682;0,840614286;986,4504853;3719,450143;0,004858993
GoogleNet;FP32;0,157121085;0,951578125;0,534228693;0,840325;986,5107249;3718,158125;0,004843981
GoogleNet;FP32;0,151309469;0,953666667;0,536257793;0,840944444;986,516714;3717,290556;0,004839711
GoogleNet;FP32;0,145351111;0,95578;0,540100879;0,84109;986,5199898;3716,5094;0,004839567
GoogleNet;FP16;0,110483887;0,969175;0,532833209;0,8489;614,509281;3632,994;0,00342555
GoogleNet;FP16;0,139704068;0,9584875;0,523983599;0,84495;616,472086;3614,712;0,003545094
GoogleNet;FP16;0,143642601;0,957125;0,533653381;0,8425;616,9588847;3609,753;0,003437938
GoogleNet;FP16;0,147465755;0,95575;0,535815693;0,840875;617,314771;3607,9565;0,003481127
GoogleNet;FP16;0,172315175;0,94694;0,531182491;0,83904;617,6062182;3606,0688;0,003502342
GoogleNet;FP16;0,173603608;0,946333333;0,529492818;0,838616667;617,7936435;3605,6455;0,003362405
GoogleNet;FP16;0,17012709;0,947460714;0,530324333;0,838271429;617,898638;3605,799571;0,003375257
GoogleNet;FP16;0,1680418;0,948296875;0,531576114;0,8385;617,9817955;3604,51775;0,003333444
GoogleNet;FP16;0,164114491;0,949694444;0,531689856;0,838944444;618,0611533;3603,558778;0,003268897
GoogleNet;FP16;0,162914957;0,9501925;0,530968848;0,83923;618,1302588;3602,9102;0,003212707
