Arquitetura;Precisão;Perda Treino;Acurácia Treino;Perda Validação;Acurácia Validação;Tempo Treino (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
LeNet;FP32;0,537152527;0,818725;0,828949462;0,7229;204,524258;1765,391;0,000742661
LeNet;FP32;0,510777839;0,8270375;0,828826612;0,72435;218,3642715;1707,5255;0,000726796
LeNet;FP32;0,494465831;0,833291667;0,827086817;0,726133333;223,2434907;1688,669667;0,000745072
LeNet;FP32;0,489344235;0,83505;0,822729336;0,727575;225,5753593;1681,1065;0,000812729
LeNet;FP32;0,491516759;0,83477;0,825967046;0,72612;227,3141808;1674,035;0,000862776
LeNet;FP32;0,484776829;0,837241667;0,829483503;0,725533333;228,5250328;1669,597667;0,000839345
LeNet;FP32;0,480142055;0,838757143;0,829636254;0,726157143;229,463236;1664,954;0,000825433
LeNet;FP32;0,479987304;0,838653125;0,831180219;0,725875;230,1796574;1662,723875;0,000812275
LeNet;FP32;0,479722538;0,838658333;0,830104775;0,726055556;230,6334713;1661,206556;0,000825428
LeNet;FP32;0,48278848;0,8375575;0,830538521;0,72561;231,0635152;1660,2914;0,000851252
LeNet;FP16;0,445260058;0,85415;0,834977318;0,7265;205,032349;1446,837;0,000872057
LeNet;FP16;0,46109862;0,8470875;0,835377069;0,7252;206,557361;1424,6605;0,000829079
LeNet;FP16;0,439040854;0,855175;0,831388008;0,7287;205,9443327;1427,102667;0,000806643
LeNet;FP16;0,457909386;0,84849375;0,826762922;0,728625;205,5308035;1432,87775;0,000830912
LeNet;FP16;0,471474761;0,84328;0,829006402;0,727;206,3559468;1421,2668;0,000809685
LeNet;FP16;0,477089221;0,840920833;0,831315858;0,72575;206,2457545;1419,928833;0,00080711
LeNet;FP16;0,470873977;0,843139286;0,831370588;0,7265;205,9584453;1421,729286;0,000790766
LeNet;FP16;0,466635073;0,84461875;0,831972945;0,7261625;205,7958666;1426,072875;0,000801416
LeNet;FP16;0,47400387;0,841708333;0,830302506;0,725977778;205,5883012;1423,546556;0,000786476
LeNet;FP16;0,474698306;0,841445;0,830959137;0,72601;206,3215021;1413,1029;0,000794083
