Arquitetura;Precisão;Perda Treino;Acurácia Treino;Perda Validação;Acurácia Validação;Tempo Treino (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
ResNet;FP32;0,000283101;0,999925;1,091860568;0,8725;4498,672251;3989,793;0,020520661
ResNet;FP32;0,000143162;0,9999625;1,155445799;0,8748;4498,175223;3990,914;0,020480395
ResNet;FP32;9,85945E-05;0,999975;1,162474709;0,8742;4497,779917;3990,164;0,020678252
ResNet;FP32;8,7603E-05;0,999975;1,152320575;0,874525;4498,14153;3989,8095;0,020735536
ResNet;FP32;7,52718E-05;0,99998;1,155245318;0,87424;4498,153567;3989,9766;0,020762674
ResNet;FP32;8,25389E-05;0,999979167;1,154172894;0,874516667;4498,456872;3988,993333;0,020773562
ResNet;FP32;7,63222E-05;0,999978571;1,156432132;0,874742857;4498,959246;3989,048429;0,020778396
ResNet;FP32;8,82647E-05;0,999978125;1,155794058;0,87465;4499,252551;3989,305875;0,020767965
ResNet;FP32;7,90647E-05;0,999980556;1,165160302;0,8745;4498,988913;3989,056111;0,020769015
ResNet;FP32;8,52413E-05;0,99998;1,158263582;0,87458;4499,121857;3989,0524;0,020774069
ResNet;FP16;0,002197557;0,9998;3,602701139;0,8573;3070,843712;3902,379;0,013961337
ResNet;FP16;0,003367377;0,9996625;3,297444618;0,86425;3071,487243;3894,537;0,013952085
ResNet;FP16;0,003612843;0,999666667;3,208036728;0,864666667;3070,955382;3899,019667;0,013925965
ResNet;FP16;0,003139759;0,9997125;3,221252872;0,864725;3071,067364;3900,3485;0,013917091
ResNet;FP16;0,003240722;0,999705;3,197943071;0,8653;3071,103037;3903,2218;0,013915084
ResNet;FP16;0,002915839;0,999741667;3,208340018;0,866333333;3071,325263;3903,269;0,013896953
ResNet;FP16;0,003146841;0,999714286;3,181543044;0,866628571;3071,368413;3903,911571;0,013900581
ResNet;FP16;0,002886217;0,9997375;3,2184469;0,8666875;3071,352557;3900,882625;0,013899906
ResNet;FP16;0,003254454;0,999708333;3,191284112;0,867322222;3071,397135;3901,011444;0,013897109
ResNet;FP16;0,00326004;0,9997125;3,185771049;0,8673;3071,399889;3902,1618;0,013888502
