Arquitetura;Precisão;Acurácia Teste;Precisão Teste;Recall Teste;F1 Score Teste;Tempo Teste (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
AlexNet;FP32;0,8302;0,830807365;0,8302;0,830386835;1,452878;13115,359;6,76372E-06
AlexNet;FP32;0,83;0,830649174;0,83;0,830218577;1,418246;13876,874;7,36056E-06
AlexNet;FP32;0,8282;0,828950019;0,8282;0,828467712;1,428979;13641,246;7,1933E-06
AlexNet;FP32;0,828;0,828619224;0,828;0,828186148;1,422043;13075,979;6,72415E-06
AlexNet;FP32;0,828;0,828922114;0,828;0,82834421;1,42544;13240,122;8,08603E-06
AlexNet;FP32;0,8267;0,827689052;0,8267;0,827094104;1,436203;13977,731;7,92245E-06
AlexNet;FP32;0,8295;0,830247087;0,8295;0,829761643;1,423528;14063,178;6,25113E-06
AlexNet;FP32;0,8276;0,828652088;0,8276;0,827981315;1,411091;14341,343;6,72146E-06
AlexNet;FP32;0,8261;0,826721289;0,8261;0,826317303;1,415983;12742,113;8,49484E-06
AlexNet;FP32;0,8313;0,832362072;0,8313;0,831651155;1,420954;13338,295;6,95051E-06
AlexNet;FP16;0,8289;0,829200717;0,8289;0,828975199;1,354784;11041,62;5,62141E-06
AlexNet;FP16;0,8293;0,829409735;0,8293;0,829290367;1,349296;11170,44;7,48677E-06
AlexNet;FP16;0,8286;0,829009555;0,8286;0,828704611;1,352475;10720,292;5,78007E-06
AlexNet;FP16;0,8352;0,835349697;0,8352;0,835200828;1,34523;10460,673;6,19167E-06
AlexNet;FP16;0,8288;0,828824877;0,8288;0,828736362;1,359533;10560,95;7,88371E-06
AlexNet;FP16;0,8324;0,832615441;0,8324;0,832446424;1,349059;11671,904;7,18866E-06
AlexNet;FP16;0,8307;0,830950705;0,8307;0,830686113;1,338773;11615,797;6,67625E-06
AlexNet;FP16;0,8294;0,829532424;0,8294;0,82937859;1,340974;12062,138;5,9209E-06
AlexNet;FP16;0,8303;0,830343232;0,8303;0,830224017;1,368422;11054,563;7,57673E-06
AlexNet;FP16;0,8298;0,830089592;0,8298;0,829893576;1,339472;11863;6,15565E-06
