Arquitetura;Precisão;Acurácia Teste;Precisão Teste;Recall Teste;F1 Score Teste;Tempo Teste (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
GoogleNet;FP32;0,8464;0,846137186;0,8464;0,846165649;1,650676;14735,809;8,70685E-06
GoogleNet;FP32;0,8428;0,842583599;0,8428;0,842593116;1,650277;13388,987;6,87584E-06
GoogleNet;FP32;0,8415;0,841217185;0,8415;0,841294022;1,62314;14471,508;9,13766E-06
GoogleNet;FP32;0,8426;0,84207988;0,8426;0,842237239;1,626686;13725,929;9,22551E-06
GoogleNet;FP32;0,8418;0,841629414;0,8418;0,841622035;1,633081;13901,929;8,11441E-06
GoogleNet;FP32;0,8438;0,843452491;0,8438;0,843581132;1,62012;13342,263;8,30882E-06
GoogleNet;FP32;0,8407;0,840362208;0,8407;0,840474726;1,640163;14290,681;9,50704E-06
GoogleNet;FP32;0,8427;0,842602782;0,8427;0,842560969;1,623331;15009,759;8,25785E-06
GoogleNet;FP32;0,8396;0,839340697;0,8396;0,83936809;1,628463;14490,329;9,5519E-06
GoogleNet;FP32;0,8416;0,84117678;0,8416;0,841309289;1,636158;13704,686;8,39054E-06
GoogleNet;FP16;0,8416;0,841116417;0,8416;0,841260418;1,082755;10777,704;7,29699E-06
GoogleNet;FP16;0,8439;0,843755546;0,8439;0,843736225;1,094309;10408,931;8,1049E-06
GoogleNet;FP16;0,8441;0,844012496;0,8441;0,843986224;1,092023;10098,281;7,77962E-06
GoogleNet;FP16;0,8419;0,841650709;0,8419;0,841702505;1,08402;9382,484;5,91628E-06
GoogleNet;FP16;0,8411;0,840783034;0,8411;0,840871538;1,078219;8697,774;8,27782E-06
GoogleNet;FP16;0,8445;0,844036428;0,8445;0,844173235;1,078959;9060,491;4,89126E-06
GoogleNet;FP16;0,8429;0,84300986;0,8429;0,842822047;1,069752;9319,277;7,31996E-06
GoogleNet;FP16;0,8409;0,840953596;0,8409;0,840810859;1,072724;9329,385;5,59201E-06
GoogleNet;FP16;0,842;0,841618849;0,842;0,841741177;1,085629;9007,549;5,79098E-06
GoogleNet;FP16;0,8438;0,843492484;0,8438;0,843584086;1,082169;8985,274;6,57039E-06
