Arquitetura;Precisão;Acurácia Teste;Precisão Teste;Recall Teste;F1 Score Teste;Tempo Teste (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
LeNet;FP32;0,730400000;0,730582987;0,730400000;0,730131561;0,838912000;6087,798000000;0,000004915
LeNet;FP32;0,729500000;0,729804896;0,729500000;0,729441643;0,852643000;5789,197000000;0,000004025
LeNet;FP32;0,733800000;0,733813460;0,733800000;0,733519388;0,855515000;5827,389000000;0,000005131
LeNet;FP32;0,729200000;0,729604335;0,729200000;0,729103951;0,846670000;5691,525000000;0,000003383
LeNet;FP32;0,730400000;0,730388358;0,730400000;0,730150466;0,846832000;5741,058000000;0,000002478
LeNet;FP32;0,730900000;0,731016027;0,730900000;0,730722822;0,833009000;5614,878000000;0,000002795
LeNet;FP32;0,727400000;0,727967143;0,727400000;0,727411619;0,832582000;5656,900000000;0,000002442
LeNet;FP32;0,732500000;0,733045181;0,732500000;0,732497286;0,838758000;5525,948000000;0,000003276
LeNet;FP32;0,728200000;0,728419811;0,728200000;0,728065499;0,840627000;5576,064000000;0,000002468
LeNet;FP32;0,730800000;0,730549472;0,730800000;0,730360178;0,826438000;5448,239000000;0,000002144
LeNet;FP16;0,7362;0,736623125;0,7362;0,736194715;0,853487;5624,971;2,61575E-06
LeNet;FP16;0,7356;0,735417939;0,7356;0,735372252;0,84908;5529,882;2,62431E-06
LeNet;FP16;0,7354;0,735846419;0,7354;0,735405475;0,854011;5421,612;2,24452E-06
LeNet;FP16;0,7377;0,737839527;0,7377;0,737577053;0,84417;5367,784;3,92875E-06
LeNet;FP16;0,7358;0,736031288;0,7358;0,735714731;0,843109;5333,237;2,75698E-06
LeNet;FP16;0,7397;0,739964557;0,7397;0,739643729;0,84834;5361,384;2,92244E-06
LeNet;FP16;0,7365;0,737066764;0,7365;0,736541728;0,848342;5335,199;3,64418E-06
LeNet;FP16;0,7366;0,736431204;0,7366;0,736288067;0,841869;5392,642;3,02174E-06
LeNet;FP16;0,7386;0,738261877;0,7386;0,73823453;0,836806;5284,44;3,86356E-06
LeNet;FP16;0,74;0,740232699;0,74;0,739906718;0,837748;5276,731;3,39829E-06
