Arquitetura;Precisão;Acurácia Teste;Precisão Teste;Recall Teste;F1 Score Teste;Tempo Teste (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
VGG;FP32;0,8618;0,861707387;0,8618;0,861684383;1,764216;15027,844;9,87776E-06
VGG;FP32;0,8595;0,859924135;0,8595;0,85963319;1,761388;14955,397;1,14871E-05
VGG;FP32;0,8602;0,860545146;0,8602;0,860277758;1,750673;15542,015;7,2772E-06
VGG;FP32;0,8597;0,860126987;0,8597;0,859842949;1,755574;15228,463;8,6758E-06
VGG;FP32;0,8615;0,862266641;0,8615;0,861733509;1,774005;14865,048;1,12216E-05
VGG;FP32;0,8597;0,859914384;0,8597;0,859751608;1,763478;14941,52;8,90267E-06
VGG;FP32;0,8588;0,859294911;0,8588;0,85892505;1,761857;14676,295;8,21685E-06
VGG;FP32;0,8598;0,859869037;0,8598;0,859738672;1,752701;16243,351;7,13531E-06
VGG;FP32;0,8636;0,864069739;0,8636;0,863685339;1,765425;15187,148;8,66782E-06
VGG;FP32;0,8589;0,859314398;0,8589;0,859017719;1,752517;15334,877;9,7947E-06
VGG;FP16;0,8619;0,862228316;0,8619;0,862015707;1,511362;13274,8;6,48488E-06
VGG;FP16;0,8642;0,864304876;0,8642;0,864188208;1,514874;12429,244;6,82327E-06
VGG;FP16;0,8589;0,859207314;0,8589;0,85896708;1,512118;11823,997;6,23545E-06
VGG;FP16;0,8608;0,861004715;0,8608;0,860838189;1,524363;11777,266;6,85806E-06
VGG;FP16;0,8607;0,860903208;0,8607;0,86073678;1,521938;13187,002;6,58812E-06
VGG;FP16;0,861;0,861167637;0,861;0,861036098;1,518108;11494,942;9,10738E-06
VGG;FP16;0,8628;0,862892205;0,8628;0,862788008;1,510991;12435,713;9,52666E-06
VGG;FP16;0,8628;0,862856001;0,8628;0,862752988;1,513794;12091,641;8,74745E-06
VGG;FP16;0,8618;0,862104719;0,8618;0,861833718;1,504301;12684,564;9,1218E-06
VGG;FP16;0,8618;0,861966079;0,8618;0,861817556;1,503927;11489,59;9,57669E-06
