Arquitetura;Precisão;duration;carbono_g;emissions;emissions_rate;cpu_power;gpu_power;cpu_energy;gpu_energy;ram_energy;energy_consumed;energia_consumida_wh;energia_W
LeNet;FP32;204,5434837;0,742661;0,000742661;3,63E-06;34,09992314;89,39604181;0,001985847;0,005239435;0,000326073;0,007551355;7,551355;0,429050127
LeNet;FP32;234,9427616;1,083662;0,001083662;4,61E-06;24,9976016;59,31902117;0,001652982;0,008991132;0,000374534;0,011018648;11,018648;0,719097664
LeNet;FP32;232,213766;0,710931;0,000710931;3,06E-06;24,98652898;73,09772831;0,001642783;0,005215765;0,000370178;0,007228727;7,228727;0,466280533
LeNet;FP32;233,0119716;0,781624;0,000781624;3,35E-06;24,94225251;99,68999295;0,001637645;0,005938434;0,000371456;0,007947534;7,947534;0,514408491
LeNet;FP32;232,5816322;1,0157;0,0010157;4,37E-06;24,91074007;141,497503;0,001636138;0,008320711;0,000370758;0,010327607;10,327607;0,66722547
LeNet;FP32;234,279397;1,062964;0,001062964;4,54E-06;25,04275707;67,2338846;0,001649277;0,008785431;0,000373488;0,010808196;10,808196;0,703371567
LeNet;FP32;234,5888979;0,722188;0,000722188;3,08E-06;25,02576297;66,7069638;0,00165067;0,005318549;0,000373974;0,007343193;7,343193;0,478508765
LeNet;FP32;235,1024333;0,741964;0,000741964;3,16E-06;25,01026467;94,75445443;0,001653783;0,005515694;0,000374796;0,007544273;7,544273;0,492688039
LeNet;FP32;235,2044616;0,720168;0,000720168;3,06E-06;25,04382509;84,54349749;0,001655927;0,005291759;0,00037496;0,007322647;7,322647;0,478422013
LeNet;FP32;234,2731867;0,930654;0,000930654;3,97E-06;25,05494984;130,7220265;0,001653305;0,007436097;0,000373468;0,00946287;9,46287;0,615804642
LeNet;FP16;205,0514629;0,872057;0,000872057;4,25E-06;32,3406256;101,2613136;0,002038409;0,006501769;0,000326879;0,008867056;8,867056;0,505056335
LeNet;FP16;212,9278927;0,862548;0,000862548;4,05E-06;36,07829505;97,65712455;0,001920318;0,006510627;0,00033942;0,008770364;8,770364;0,518737535
LeNet;FP16;208,0937996;0,7861;0,0007861;3,78E-06;36,70804964;120,1140498;0,001982052;0,005679263;0,000331729;0,007993044;7,993044;0,462028582
LeNet;FP16;204,7260413;0,761772;0,000761772;3,72E-06;35,95628617;86,02365322;0,002016856;0,005402483;0,000326339;0,007745678;7,745678;0,440483887
LeNet;FP16;204,2988185;0,903718;0,000903718;4,42E-06;35,26324936;117,4897829;0,002031408;0,006831888;0,000325684;0,00918898;9,18898;0,521471599
LeNet;FP16;209,6646431;0,72478;0,00072478;3,46E-06;24,96451148;118,2626736;0,001960945;0,005074353;0,000334246;0,007369544;7,369544;0,429203559
LeNet;FP16;205,7027397;0,794234;0,000794234;3,86E-06;34,95688096;57,59988838;0,002016662;0,005731162;0,000327924;0,008075748;8,075748;0,461445414
LeNet;FP16;204,2437545;0,692702;0,000692702;3,39E-06;36,10545723;121,0345544;0,00202767;0,004690101;0,000325607;0,007043378;7,043378;0,399601658
LeNet;FP16;204,6703274;0,875965;0,000875965;4,28E-06;36,08977149;94,63247382;0,002033578;0,006546943;0,00032627;0,008906791;8,906791;0,506376619
LeNet;FP16;203,9356682;0,666955;0,000666955;3,27E-06;36,02621787;107,3770471;0,002034667;0,004421806;0,000325106;0,006781579;6,781579;0,38416829
AlexNet;FP32;2038,304437;9,951569;0,009951569;4,88E-06;25,20608166;128,3651974;0,015211687;0,082726472;0,003249144;0,101187303;101,187303;57,29181352
AlexNet;FP32;2037,420387;9,352308;0,009352308;4,59E-06;25,14374913;152,0218052;0,014162485;0,077683851;0,003247701;0,095094037;95,094037;53,81848046
AlexNet;FP32;2036,540802;9,879032;0,009879032;4,85E-06;25,21764047;165,8921451;0,014197844;0,083005631;0,003246274;0,10044975;100,44975;56,82500401
AlexNet;FP32;2038,002659;9,867434;0,009867434;4,84E-06;25,24178785;144,7470543;0,014206353;0,082876861;0,003248612;0,100331825;100,331825;56,79903504
AlexNet;FP32;2035,715167;9,904891;0,009904891;4,87E-06;25,10569576;154,161501;0,014117445;0,083350285;0,003244954;0,100712684;100,712684;56,95064954
AlexNet;FP32;2035,070059;9,917776;0,009917776;4,87E-06;25,2090351;161,4150112;0,01417723;0,083422503;0,00324397;0,100843703;100,843703;57,00666684
AlexNet;FP32;2115,107871;9,888584;0,009888584;4,68E-06;37,685066;0;0,015825885;0,081349718;0,003371273;0,100546876;100,546876;59,07430245
AlexNet;FP32;2040,61307;9,382848;0,009382848;4,60E-06;24,64688029;175,2626604;0,014373376;0,077778446;0,003252746;0,095404568;95,404568;54,07883567
AlexNet;FP32;2034,981702;9,380716;0,009380716;4,61E-06;25,24394127;157,6605555;0,014191293;0,077947997;0,003243596;0,095382886;95,382886;53,91734103
AlexNet;FP32;2037,577852;9,359212;0,009359212;4,59E-06;25,19873351;114,2770921;0,014207484;0,077708789;0,00324796;0,095164232;95,164232;53,86236984
AlexNet;FP16;2014,08796;9,866355;0,009866355;4,90E-06;25,24171282;141,8924329;0,015322311;0,081787962;0,003210574;0,100320847;100,320847;56,12639169
AlexNet;FP16;2013,708567;9,75627;0,00975627;4,84E-06;25,31775839;130,3015344;0,013985976;0,082005605;0,003209925;0,099201506;99,201506;55,48970069
AlexNet;FP16;2013,8672;9,740107;0,009740107;4,84E-06;25,47739492;138,2876594;0,014044054;0,081782909;0,003210203;0,099037166;99,037166;55,40213894
AlexNet;FP16;2012,577023;9,822711;0,009822711;4,88E-06;25,65581755;143,2405045;0,01471548;0,081953453;0,00320815;0,099877083;99,877083;55,83620066
AlexNet;FP16;2013,333067;9,737032;0,009737032;4,84E-06;25,52689842;147,388068;0,014010995;0,08178554;0,003209359;0,099005895;99,005895;55,36995618
AlexNet;FP16;2013,872168;9,770057;0,009770057;4,85E-06;25,4962358;185,4320539;0,014041241;0,082090282;0,003210173;0,099341696;99,341696;55,57263242
AlexNet;FP16;2013,761876;9,438604;0,009438604;4,69E-06;25,51387576;132,0888505;0,014048045;0,078713424;0,003210017;0,095971486;95,971486;53,68436658
