Arquitetura;Precisão numérica;Acurácia Teste;Precisão Teste;Recall Teste;F1 Score Teste;Tempo Teste;Consumo Energia Teste;Emissões Teste
LeNet;FP32;0,7304;0,730582987;0,7304;0,730131561;0,838912;6087,798;0,000004915
LeNet;FP32;0,7295;0,729804896;0,7295;0,729441643;0,852643;5789,197;0,000004025
LeNet;FP32;0,7338;0,73381346;0,7338;0,733519388;0,855515;5827,389;0,000005131
LeNet;FP32;0,7292;0,729604335;0,7292;0,729103951;0,84667;5691,525;0,000003383
LeNet;FP32;0,7304;0,730388358;0,7304;0,730150466;0,846832;5741,058;0,000002478
LeNet;FP32;0,7309;0,731016027;0,7309;0,730722822;0,833009;5614,878;0,000002795
LeNet;FP32;0,7274;0,727967143;0,7274;0,727411619;0,832582;5656,9;0,000002442
LeNet;FP32;0,7325;0,733045181;0,7325;0,732497286;0,838758;5525,948;0,000003276
LeNet;FP32;0,7282;0,728419811;0,7282;0,728065499;0,840627;5576,064;0,000002468
LeNet;FP32;0,7308;0,730549472;0,7308;0,730360178;0,826438;5448,239;0,000002144
LeNet;FP16;0,7362;0,736623125;0,7362;0,736194715;0,853487;5624,971;0,000002616
LeNet;FP16;0,7356;0,735417939;0,7356;0,735372252;0,84908;5529,882;0,000002624
LeNet;FP16;0,7354;0,735846419;0,7354;0,735405475;0,854011;5421,612;0,000002245
LeNet;FP16;0,7377;0,737839527;0,7377;0,737577053;0,84417;5367,784;0,000003929
LeNet;FP16;0,7358;0,736031288;0,7358;0,735714731;0,843109;5333,237;0,000002757
LeNet;FP16;0,7397;0,739964557;0,7397;0,739643729;0,84834;5361,384;0,000002922
LeNet;FP16;0,7365;0,737066764;0,7365;0,736541728;0,848342;5335,199;0,000003644
LeNet;FP16;0,7366;0,736431204;0,7366;0,736288067;0,841869;5392,642;0,000003022
LeNet;FP16;0,7386;0,738261877;0,7386;0,73823453;0,836806;5284,44;0,000003864
LeNet;FP16;0,74;0,740232699;0,74;0,739906718;0,837748;5276,731;0,000003398
AlexNet;FP32;0,8302;0,830807365;0,8302;0,830386835;1,452878;13115,359;0,000006764
AlexNet;FP32;0,83;0,830649174;0,83;0,830218577;1,418246;13876,874;0,000007361
AlexNet;FP32;0,8282;0,828950019;0,8282;0,828467712;1,428979;13641,246;0,000007193
AlexNet;FP32;0,828;0,828619224;0,828;0,828186148;1,422043;13075,979;0,000006724
AlexNet;FP32;0,828;0,828922114;0,828;0,82834421;1,42544;13240,122;0,000008086
AlexNet;FP32;0,8267;0,827689052;0,8267;0,827094104;1,436203;13977,731;0,000007922
